#timebase=40000000000(ps)
,#voltbase=500000(mv/100)
#size=40064
5.00E-05,3.000
1.00E-04,3.000
1.50E-04,3.000
2.00E-04,3.020
2.50E-04,3.000
3.00E-04,3.000
3.50E-04,3.020
4.00E-04,3.020
4.50E-04,3.020
5.00E-04,3.020
5.50E-04,3.000
6.00E-04,3.020
6.50E-04,3.020
7.00E-04,3.040
7.50E-04,3.000
8.00E-04,3.000
8.50E-04,3.020
9.00E-04,2.900
9.50E-04,3.020
1.00E-03,3.000
1.05E-03,3.000
1.10E-03,2.980
1.15E-03,2.980
1.20E-03,3.020
1.25E-03,2.980
1.30E-03,2.980
1.35E-03,3.000
1.40E-03,3.020
1.45E-03,3.000
1.50E-03,3.000
1.55E-03,3.020
1.60E-03,3.000
1.65E-03,2.980
1.70E-03,3.020
1.75E-03,3.000
1.80E-03,3.000
1.85E-03,3.000
1.90E-03,3.000
1.95E-03,3.000
2.00E-03,3.020
2.05E-03,3.040
2.10E-03,3.040
2.15E-03,3.000
2.20E-03,3.020
2.25E-03,3.020
2.30E-03,3.020
2.35E-03,3.000
2.40E-03,3.000
2.45E-03,3.000
2.50E-03,3.020
2.55E-03,3.020
2.60E-03,3.000
2.65E-03,2.960
2.70E-03,3.020
2.75E-03,3.040
2.80E-03,3.040
2.85E-03,3.040
2.90E-03,3.100
2.95E-03,3.020
3.00E-03,3.040
3.05E-03,3.000
3.10E-03,3.000
3.15E-03,3.020
3.20E-03,3.000
3.25E-03,3.020
3.30E-03,3.020
3.35E-03,3.000
3.40E-03,3.020
3.45E-03,2.980
3.50E-03,2.980
3.55E-03,2.980
3.60E-03,3.020
3.65E-03,3.000
3.70E-03,3.020
3.75E-03,2.980
3.80E-03,3.020
3.85E-03,3.000
3.90E-03,3.060
3.95E-03,3.020
4.00E-03,3.020
4.05E-03,3.020
4.10E-03,3.040
4.15E-03,3.040
4.20E-03,3.000
4.25E-03,3.000
4.30E-03,3.000
4.35E-03,3.020
4.40E-03,3.000
4.45E-03,3.000
4.50E-03,3.020
4.55E-03,3.000
4.60E-03,2.980
4.65E-03,3.000
4.70E-03,3.020
4.75E-03,3.000
4.80E-03,3.020
4.85E-03,3.000
4.90E-03,2.900
4.95E-03,3.020
5.00E-03,3.020
5.05E-03,3.000
5.10E-03,3.000
5.15E-03,3.020
5.20E-03,3.020
5.25E-03,3.000
5.30E-03,3.000
5.35E-03,3.000
5.40E-03,3.020
5.45E-03,2.980
5.50E-03,3.020
5.55E-03,3.020
5.60E-03,3.000
5.65E-03,3.000
5.70E-03,3.020
5.75E-03,3.000
5.80E-03,3.000
5.85E-03,3.020
5.90E-03,3.000
5.95E-03,3.020
6.00E-03,3.000
6.05E-03,3.000
6.10E-03,3.000
6.15E-03,3.000
6.20E-03,3.020
6.25E-03,3.020
6.30E-03,3.000
6.35E-03,3.000
6.40E-03,3.020
6.45E-03,3.000
6.50E-03,3.000
6.55E-03,3.000
6.60E-03,3.020
6.65E-03,3.000
6.70E-03,3.000
6.75E-03,3.020
6.80E-03,3.000
6.85E-03,3.000
6.90E-03,3.000
6.95E-03,3.000
7.00E-03,3.000
7.05E-03,3.000
7.10E-03,3.020
7.15E-03,2.980
7.20E-03,3.020
7.25E-03,3.020
7.30E-03,3.020
7.35E-03,3.000
7.40E-03,3.020
7.45E-03,3.020
7.50E-03,3.000
7.55E-03,3.000
7.60E-03,3.020
7.65E-03,3.000
7.70E-03,3.000
7.75E-03,2.980
7.80E-03,2.980
7.85E-03,2.980
7.90E-03,3.060
7.95E-03,2.980
8.00E-03,2.980
8.05E-03,3.000
8.10E-03,3.020
8.15E-03,3.000
8.20E-03,3.020
8.25E-03,3.000
8.30E-03,3.000
8.35E-03,3.000
8.40E-03,3.000
8.45E-03,3.020
8.50E-03,3.000
8.55E-03,2.980
8.60E-03,3.000
8.65E-03,3.020
8.70E-03,3.000
8.75E-03,3.020
8.80E-03,3.000
8.85E-03,3.000
8.90E-03,2.920
8.95E-03,3.000
