#timebase=20000000000(ps)
,#voltbase=500000(mv/100)
#size=40064
7.20E-03,3.000
7.22E-03,3.020
7.25E-03,3.000
7.28E-03,3.020
7.30E-03,3.040
7.32E-03,3.000
7.35E-03,3.000
7.37E-03,3.020
7.40E-03,3.040
7.43E-03,3.040
7.45E-03,3.000
7.47E-03,3.020
7.50E-03,3.020
7.52E-03,3.020
7.55E-03,3.040
7.58E-03,3.000
7.60E-03,3.000
7.62E-03,3.020
7.65E-03,3.040
7.68E-03,3.040
7.70E-03,3.000
7.73E-03,3.020
7.75E-03,3.020
7.77E-03,3.000
7.80E-03,3.000
7.83E-03,3.000
7.85E-03,3.020
7.88E-03,3.000
7.90E-03,3.020
7.92E-03,3.040
7.95E-03,3.000
7.97E-03,3.020
8.00E-03,3.020
8.02E-03,3.020
8.05E-03,3.000
8.08E-03,3.020
8.10E-03,3.040
8.13E-03,3.040
8.15E-03,3.040
8.17E-03,3.040
8.20E-03,3.000
8.22E-03,3.000
8.25E-03,3.020
8.27E-03,3.000
8.30E-03,3.020
8.33E-03,3.020
8.35E-03,3.020
8.38E-03,2.980
8.40E-03,3.020
8.43E-03,3.020
8.45E-03,3.020
8.47E-03,3.000
8.50E-03,3.040
8.52E-03,3.020
8.55E-03,3.020
8.57E-03,3.020
8.60E-03,3.000
8.63E-03,3.020
8.65E-03,3.020
8.68E-03,3.020
8.70E-03,3.020
8.73E-03,3.040
8.75E-03,3.040
8.77E-03,3.000
8.80E-03,3.000
8.82E-03,3.020
8.85E-03,3.000
8.87E-03,3.020
8.90E-03,3.000
8.93E-03,3.020
8.95E-03,3.040
8.98E-03,3.040
9.00E-03,3.040
9.03E-03,3.040
9.05E-03,3.000
9.07E-03,3.020
9.10E-03,2.920
9.12E-03,3.020
9.15E-03,3.020
9.18E-03,3.020
9.20E-03,3.020
9.23E-03,3.020
9.25E-03,3.020
9.28E-03,3.020
9.30E-03,3.020
9.32E-03,3.000
9.35E-03,3.020
9.37E-03,3.000
9.40E-03,3.040
9.42E-03,3.020
9.45E-03,3.020
9.48E-03,3.000
9.50E-03,3.020
9.53E-03,3.020
9.55E-03,2.980
9.58E-03,3.020
9.60E-03,3.020
9.62E-03,3.040
9.65E-03,3.000
9.67E-03,3.020
9.70E-03,3.000
9.72E-03,3.020
9.75E-03,3.060
9.78E-03,3.020
9.80E-03,3.080
9.83E-03,3.020
9.85E-03,3.060
9.88E-03,3.040
9.90E-03,3.000
9.92E-03,3.020
9.95E-03,3.020
9.97E-03,3.020
1.00E-02,3.020
