#flipflop between high and low with a delay of 100ms between changes
#timebase=40000000000(ps)
,#voltbase=1000000(mv/100)
#size=4064
5.72E-02,0.080
5.74E-02,0.120
5.76E-02,0.160
5.78E-02,0.120
5.80E-02,0.120
5.82E-02,0.160
5.84E-02,0.080
5.86E-02,0.120
5.88E-02,0.160
5.90E-02,0.080
5.92E-02,0.120
5.94E-02,0.160
5.96E-02,0.120
5.98E-02,0.080
6.00E-02,0.080
6.02E-02,0.120
6.04E-02,0.160
6.06E-02,0.120
6.08E-02,0.080
6.10E-02,0.160
6.12E-02,0.120
6.14E-02,0.120
6.16E-02,0.080
6.18E-02,0.080
6.20E-02,0.120
6.22E-02,0.160
6.24E-02,0.120
6.26E-02,0.160
6.28E-02,0.080
6.30E-02,0.080
6.32E-02,0.080
6.34E-02,0.120
6.36E-02,0.120
6.38E-02,0.160
6.40E-02,0.080
6.42E-02,0.080
6.44E-02,0.120
6.46E-02,0.160
6.48E-02,0.120
6.50E-02,0.120
6.52E-02,0.160
6.54E-02,0.080
6.56E-02,0.080
6.58E-02,0.120
6.60E-02,0.160
6.62E-02,0.120
6.64E-02,0.160
6.66E-02,0.120
6.68E-02,0.160
6.70E-02,0.120
6.72E-02,0.080
6.74E-02,0.080
6.76E-02,0.120
6.78E-02,0.080
6.80E-02,0.120
6.82E-02,0.080
6.84E-02,0.120
6.86E-02,0.120
6.88E-02,0.080
6.90E-02,0.160
6.92E-02,0.080
6.94E-02,0.120
6.96E-02,0.160
6.98E-02,0.120
7.00E-02,0.120
7.02E-02,0.120
7.04E-02,0.080
7.06E-02,0.160
7.08E-02,0.160
7.10E-02,0.120
7.12E-02,0.080
7.14E-02,0.120
7.16E-02,0.080
7.18E-02,0.080
7.20E-02,0.080
7.22E-02,0.080
7.24E-02,0.120
7.26E-02,0.160
7.28E-02,0.080
7.30E-02,0.120
7.32E-02,0.120
7.34E-02,0.160
7.36E-02,0.160
7.38E-02,0.080
7.40E-02,0.160
7.42E-02,0.080
7.44E-02,0.120
7.46E-02,0.120
7.48E-02,0.120
7.50E-02,0.120
7.52E-02,0.160
7.54E-02,0.040
7.56E-02,0.080
7.58E-02,0.160
7.60E-02,0.160
7.62E-02,0.080
7.64E-02,0.080
7.66E-02,0.120
7.68E-02,0.080
7.70E-02,0.080
7.72E-02,0.120
7.74E-02,0.120
7.76E-02,0.120
7.78E-02,0.160
7.80E-02,0.080
7.82E-02,0.080
7.84E-02,0.120
7.86E-02,0.120
7.88E-02,0.080
7.90E-02,0.120
7.92E-02,0.120
7.94E-02,0.160
7.96E-02,0.120
7.98E-02,0.120
8.00E-02,0.080
8.02E-02,0.120
8.04E-02,0.120
8.06E-02,0.080
8.08E-02,0.160
8.10E-02,0.080
8.12E-02,0.080
8.14E-02,0.120
8.16E-02,0.160
8.18E-02,0.120
8.20E-02,0.120
8.22E-02,0.120
8.24E-02,0.120
8.26E-02,0.080
8.28E-02,0.120
8.30E-02,0.120
8.32E-02,0.120
8.34E-02,0.120
8.36E-02,0.080
8.38E-02,0.080
8.40E-02,0.080
8.42E-02,0.080
8.44E-02,0.080
8.46E-02,0.080
8.48E-02,0.080
8.50E-02,0.120
8.52E-02,0.120
8.54E-02,0.080
8.56E-02,0.160
8.58E-02,0.160
8.60E-02,0.120
8.62E-02,0.080
8.64E-02,0.080
8.66E-02,0.160
8.68E-02,0.160
8.70E-02,0.080
8.72E-02,0.080
8.74E-02,0.160
8.76E-02,0.080
8.78E-02,0.120
8.80E-02,0.160
8.82E-02,0.160
8.84E-02,0.120
8.86E-02,0.120
8.88E-02,0.120
8.90E-02,0.080
8.92E-02,0.120
8.94E-02,0.120
8.96E-02,0.120
8.98E-02,0.080
9.00E-02,0.080
9.02E-02,0.120
9.04E-02,0.120
9.06E-02,0.120
9.08E-02,0.160
9.10E-02,0.160
9.12E-02,0.120
9.14E-02,0.120
9.16E-02,0.120
9.18E-02,0.080
9.20E-02,0.120
9.22E-02,0.080
9.24E-02,0.120
9.26E-02,0.120
9.28E-02,0.080
9.30E-02,0.160
9.32E-02,0.120
9.34E-02,0.160
9.36E-02,0.080
9.38E-02,0.080
9.40E-02,0.160
9.42E-02,0.080
9.44E-02,0.080
9.46E-02,0.160
9.48E-02,0.160
9.50E-02,0.080
