#timebase=40000000000(ps)
,#voltbase=1000000(mv/100)
#size=4064
2.00E-04,3.000
4.00E-04,3.000
6.00E-04,3.000
8.00E-04,3.000
1.00E-03,3.000
1.20E-03,3.000
1.40E-03,2.920
1.60E-03,3.000
1.80E-03,3.000
2.00E-03,3.040
2.20E-03,2.960
2.40E-03,2.960
2.60E-03,3.000
2.80E-03,3.000
3.00E-03,2.960
3.20E-03,3.000
3.40E-03,3.000
3.60E-03,3.040
3.80E-03,3.000
4.00E-03,3.000
4.20E-03,3.000
4.40E-03,3.000
4.60E-03,3.000
4.80E-03,3.000
5.00E-03,3.000
5.20E-03,3.000
5.40E-03,2.960
5.60E-03,3.000
5.80E-03,3.000
6.00E-03,3.000
6.20E-03,3.000
6.40E-03,3.000
6.60E-03,3.000
6.80E-03,3.000
7.00E-03,3.000
7.20E-03,2.920
7.40E-03,3.000
7.60E-03,2.960
7.80E-03,2.920
8.00E-03,3.000
8.20E-03,3.000
8.40E-03,3.000
8.60E-03,3.000
8.80E-03,2.920
9.00E-03,3.000
9.20E-03,3.000
9.40E-03,2.920
9.60E-03,3.000
9.80E-03,3.000
1.00E-02,3.000
1.02E-02,3.000
1.04E-02,3.000
1.06E-02,2.960
1.08E-02,3.000
1.10E-02,3.000
1.12E-02,3.000
1.14E-02,3.000
1.16E-02,2.960
1.18E-02,2.960
1.20E-02,2.960
1.22E-02,3.000
1.24E-02,2.960
1.26E-02,3.000
1.28E-02,3.000
1.30E-02,2.960
1.32E-02,2.960
1.34E-02,3.000
1.36E-02,3.000
1.38E-02,2.960
1.40E-02,2.960
1.42E-02,2.920
1.44E-02,2.960
1.46E-02,3.000
1.48E-02,3.000
1.50E-02,2.960
1.52E-02,2.960
1.54E-02,3.000
1.56E-02,3.000
1.58E-02,3.000
1.60E-02,3.000
1.62E-02,3.000
1.64E-02,2.960
1.66E-02,2.960
1.68E-02,2.920
1.70E-02,2.960
1.72E-02,3.000
1.74E-02,3.000
1.76E-02,3.000
1.78E-02,3.000
1.80E-02,2.960
1.82E-02,3.000
1.84E-02,3.000
1.86E-02,3.040
1.88E-02,2.960
1.90E-02,2.960
1.92E-02,3.000
1.94E-02,3.000
1.96E-02,2.920
1.98E-02,3.000
2.00E-02,3.000
2.02E-02,3.000
2.04E-02,2.960
2.06E-02,3.000
2.08E-02,2.960
2.10E-02,3.000
2.12E-02,2.960
2.14E-02,2.960
2.16E-02,2.960
2.18E-02,3.000
2.20E-02,3.000
2.22E-02,3.000
2.24E-02,3.040
2.26E-02,3.000
2.28E-02,2.960
2.30E-02,3.000
2.32E-02,3.000
2.34E-02,3.000
2.36E-02,3.040
2.38E-02,3.000
2.40E-02,3.000
2.42E-02,3.000
2.44E-02,3.000
2.46E-02,3.000
2.48E-02,2.960
2.50E-02,3.000
2.52E-02,3.000
2.54E-02,3.000
2.56E-02,2.960
2.58E-02,3.000
2.60E-02,3.000
2.62E-02,3.000
2.64E-02,3.000
2.66E-02,2.960
2.68E-02,3.000
2.70E-02,2.960
2.72E-02,2.960
2.74E-02,3.000
2.76E-02,3.000
2.78E-02,3.000
2.80E-02,3.000
2.82E-02,2.960
2.84E-02,3.000
2.86E-02,2.960
2.88E-02,3.040
2.90E-02,3.040
2.92E-02,3.040
2.94E-02,3.000
2.96E-02,3.000
2.98E-02,3.000
3.00E-02,2.920
3.02E-02,3.040
3.04E-02,3.000
3.06E-02,3.000
3.08E-02,3.000
3.10E-02,2.960
3.12E-02,2.960
3.14E-02,2.960
3.16E-02,2.920
3.18E-02,3.000
3.20E-02,3.000
3.22E-02,3.000
3.24E-02,2.920
3.26E-02,2.960
3.28E-02,2.960
3.30E-02,2.960
3.32E-02,2.960
3.34E-02,3.000
3.36E-02,2.960
3.38E-02,3.040
3.40E-02,3.000
3.42E-02,2.960
3.44E-02,3.000
3.46E-02,3.000
3.48E-02,3.000
3.50E-02,3.000
3.52E-02,3.040
3.54E-02,3.080
3.56E-02,3.040
3.58E-02,3.040
3.60E-02,3.000
3.62E-02,3.000
3.64E-02,3.000
3.66E-02,3.000
3.68E-02,2.920
3.70E-02,3.000
3.72E-02,2.960
3.74E-02,2.960
3.76E-02,2.960
3.78E-02,3.000
3.80E-02,2.960
3.82E-02,2.960
3.84E-02,3.000
3.86E-02,3.040
3.88E-02,3.000
3.90E-02,3.000
3.92E-02,2.920
3.94E-02,3.000
3.96E-02,2.960
3.98E-02,2.960
4.00E-02,3.000
4.02E-02,3.000
4.04E-02,3.000
4.06E-02,3.000
4.08E-02,3.000
4.10E-02,3.000
4.12E-02,3.000
4.14E-02,2.960
4.16E-02,2.960
4.18E-02,3.000
4.20E-02,3.000
4.22E-02,3.000
4.24E-02,3.000
4.26E-02,2.960
4.28E-02,2.960
4.30E-02,2.960
4.32E-02,2.960
4.34E-02,2.960
4.36E-02,3.000
4.38E-02,2.960
4.40E-02,2.960
4.42E-02,3.000
4.44E-02,3.000
4.46E-02,3.000
4.48E-02,3.000
4.50E-02,3.000
4.52E-02,3.000
4.54E-02,3.000
4.56E-02,3.000
4.58E-02,2.960
4.60E-02,3.000
4.62E-02,2.960
4.64E-02,2.960
4.66E-02,3.000
4.68E-02,3.000
4.70E-02,2.960
4.72E-02,2.960
4.74E-02,3.000
4.76E-02,3.000
4.78E-02,3.000
4.80E-02,3.000
4.82E-02,3.040
4.84E-02,3.040
4.86E-02,3.000
4.88E-02,3.000
4.90E-02,3.000
4.92E-02,3.040
4.94E-02,3.040
4.96E-02,3.040
4.98E-02,3.040
5.00E-02,2.920
5.02E-02,3.000
5.04E-02,2.960
5.06E-02,2.960
5.08E-02,2.960
5.10E-02,2.960
5.12E-02,2.960
5.14E-02,3.000
5.16E-02,3.000
5.18E-02,3.000
5.20E-02,3.000
5.22E-02,3.000
5.24E-02,3.000
5.26E-02,3.000
5.28E-02,3.000
5.30E-02,2.960
5.32E-02,3.000
5.34E-02,3.000
5.36E-02,3.000
5.38E-02,3.040
5.40E-02,3.040
5.42E-02,2.920
5.44E-02,3.040
5.46E-02,2.920
5.48E-02,3.040
5.50E-02,3.000
5.52E-02,2.960
5.54E-02,2.960
5.56E-02,2.960
5.58E-02,2.960
5.60E-02,2.960
5.62E-02,3.000
5.64E-02,2.960
5.66E-02,3.000
5.68E-02,3.000
5.70E-02,2.920
5.72E-02,3.000
5.74E-02,2.960
5.76E-02,3.000
5.78E-02,3.000
5.80E-02,3.000
5.82E-02,3.040
5.84E-02,3.000
5.86E-02,3.000
5.88E-02,3.000
5.90E-02,2.960
5.92E-02,3.000
5.94E-02,2.960
5.96E-02,3.000
5.98E-02,3.000
6.00E-02,3.000
6.02E-02,2.920
6.04E-02,2.960
6.06E-02,3.000
6.08E-02,3.000
6.10E-02,2.960
6.12E-02,3.000
6.14E-02,3.000
6.16E-02,3.000
6.18E-02,3.000
6.20E-02,2.920
6.22E-02,3.040
6.24E-02,2.920
6.26E-02,2.920
6.28E-02,3.000
6.30E-02,2.960
6.32E-02,2.960
6.34E-02,3.000
6.36E-02,3.000
6.38E-02,2.960
6.40E-02,3.000
6.42E-02,3.040
6.44E-02,3.040
6.46E-02,3.040
6.48E-02,3.040
6.50E-02,3.040
6.52E-02,2.920
6.54E-02,3.000
6.56E-02,3.000
6.58E-02,3.000
6.60E-02,2.920
6.62E-02,2.960
6.64E-02,2.960
6.66E-02,2.960
6.68E-02,2.960
6.70E-02,3.000
6.72E-02,3.000
6.74E-02,3.000
6.76E-02,2.960
6.78E-02,2.960
6.80E-02,2.960
6.82E-02,2.960
6.84E-02,2.960
6.86E-02,3.000
6.88E-02,2.960
6.90E-02,3.000
6.92E-02,3.000
6.94E-02,3.000
6.96E-02,3.000
6.98E-02,3.000
7.00E-02,2.960
7.02E-02,3.000
7.04E-02,2.960
7.06E-02,3.000
7.08E-02,3.000
7.10E-02,3.000
7.12E-02,3.000
7.14E-02,2.960
7.16E-02,3.000
7.18E-02,2.960
7.20E-02,2.960
7.22E-02,3.000
7.24E-02,3.000
7.26E-02,3.000
7.28E-02,3.000
7.30E-02,2.960
7.32E-02,3.000
7.34E-02,3.000
7.36E-02,3.000
7.38E-02,3.000
7.40E-02,2.960
7.42E-02,3.000
7.44E-02,2.920
7.46E-02,3.000
7.48E-02,2.960
7.50E-02,3.000
7.52E-02,3.000
7.54E-02,3.000
7.56E-02,3.000
7.58E-02,2.960
7.60E-02,2.960
7.62E-02,3.000
7.64E-02,2.920
7.66E-02,3.000
7.68E-02,2.960
7.70E-02,3.000
7.72E-02,2.920
7.74E-02,2.960
7.76E-02,2.960
7.78E-02,3.000
7.80E-02,3.040
7.82E-02,3.000
7.84E-02,3.000
7.86E-02,3.000
7.88E-02,3.000
7.90E-02,2.960
7.92E-02,2.960
7.94E-02,2.960
7.96E-02,2.920
7.98E-02,2.960
8.00E-02,2.960
8.02E-02,3.000
8.04E-02,3.000
8.06E-02,3.000
8.08E-02,3.000
8.10E-02,3.000
8.12E-02,3.000
8.14E-02,2.960
8.16E-02,3.000
8.18E-02,2.960
8.20E-02,2.960
8.22E-02,3.000
8.24E-02,2.960
8.26E-02,2.960
8.28E-02,3.000
8.30E-02,2.960
8.32E-02,3.000
8.34E-02,2.960
8.36E-02,3.000
8.38E-02,3.000
8.40E-02,3.040
8.42E-02,2.920
8.44E-02,3.000
8.46E-02,2.960
8.48E-02,2.920
8.50E-02,3.000
8.52E-02,3.000
8.54E-02,3.000
8.56E-02,3.000
8.58E-02,2.920
8.60E-02,2.960
8.62E-02,2.960
8.64E-02,2.960
8.66E-02,2.960
8.68E-02,2.920
8.70E-02,2.920
8.72E-02,3.000
8.74E-02,2.920
8.76E-02,2.920
8.78E-02,2.960
8.80E-02,2.960
8.82E-02,3.000
8.84E-02,3.000
8.86E-02,2.960
8.88E-02,2.960
8.90E-02,2.960
8.92E-02,3.000
8.94E-02,3.040
8.96E-02,3.000
8.98E-02,3.000
9.00E-02,3.000
9.02E-02,3.000
9.04E-02,3.000
9.06E-02,3.040
9.08E-02,3.040
9.10E-02,3.000
9.12E-02,2.960
9.14E-02,2.960
9.16E-02,3.000
9.18E-02,2.920
9.20E-02,3.000
9.22E-02,3.000
9.24E-02,2.960
9.26E-02,3.000
9.28E-02,3.040
9.30E-02,2.960
9.32E-02,2.920
9.34E-02,3.000
9.36E-02,3.000
9.38E-02,2.920
9.40E-02,2.960
9.42E-02,3.000
9.44E-02,3.000
9.46E-02,3.000
9.48E-02,3.000
9.50E-02,3.000
9.52E-02,3.000
9.54E-02,2.960
9.56E-02,2.960
9.58E-02,3.000
9.60E-02,2.960
9.62E-02,3.040
9.64E-02,2.920
9.66E-02,2.920
9.68E-02,2.960
9.70E-02,2.960
