#timebase=8000000000(ps)
,#voltbase=1000000(mv/100)
#size=4064
1.00E-04,4.680
2.00E-04,4.680
3.00E-04,4.720
4.00E-04,4.680
5.00E-04,4.720
6.00E-04,4.720
7.00E-04,4.720
8.00E-04,4.680
9.00E-04,4.720
1.00E-03,4.720
1.10E-03,4.680
1.20E-03,4.680
1.30E-03,4.720
1.40E-03,4.680
1.50E-03,4.720
1.60E-03,4.720
1.70E-03,4.680
1.80E-03,4.720
1.90E-03,4.680
2.00E-03,4.680
2.10E-03,4.680
2.20E-03,4.680
2.30E-03,4.720
2.40E-03,4.680
2.50E-03,4.680
2.60E-03,4.680
2.70E-03,4.680
2.80E-03,4.680
2.90E-03,4.720
3.00E-03,4.720
3.10E-03,4.720
3.20E-03,4.720
3.30E-03,4.680
3.40E-03,4.760
3.50E-03,4.720
3.60E-03,4.680
3.70E-03,4.680
3.80E-03,4.720
3.90E-03,4.680
4.00E-03,4.720
4.10E-03,4.680
4.20E-03,4.680
4.30E-03,4.680
4.40E-03,4.680
4.50E-03,4.720
4.60E-03,4.680
4.70E-03,4.680
4.80E-03,4.720
4.90E-03,4.680
5.00E-03,4.680
5.10E-03,4.680
5.20E-03,4.680
5.30E-03,4.720
5.40E-03,4.680
5.50E-03,4.680
5.60E-03,4.720
5.70E-03,4.720
5.80E-03,4.720
5.90E-03,4.680
6.00E-03,4.720
6.10E-03,4.720
6.20E-03,4.680
6.30E-03,4.720
6.40E-03,4.680
6.50E-03,4.680
6.60E-03,4.680
6.70E-03,4.720
6.80E-03,4.720
6.90E-03,4.720
7.00E-03,4.720
7.10E-03,4.720
7.20E-03,4.680
7.30E-03,4.680
7.40E-03,4.720
7.50E-03,4.680
7.60E-03,4.720
7.70E-03,4.720
7.80E-03,4.680
7.90E-03,4.720
8.00E-03,4.720
8.10E-03,4.720
8.20E-03,4.680
8.30E-03,4.680
8.40E-03,4.680
8.50E-03,4.680
8.60E-03,4.720
8.70E-03,4.720
8.80E-03,4.680
8.90E-03,4.720
9.00E-03,4.720
9.10E-03,4.720
9.20E-03,4.680
9.30E-03,4.720
9.40E-03,4.720
9.50E-03,4.680
9.60E-03,4.720
9.70E-03,4.680
9.80E-03,4.680
9.90E-03,4.680
1.00E-02,4.720
1.01E-02,4.720
1.02E-02,4.680
1.03E-02,4.680
1.04E-02,4.680
1.05E-02,4.680
1.06E-02,4.680
1.07E-02,4.720
1.08E-02,4.680
1.09E-02,4.720
1.10E-02,4.680
1.11E-02,4.680
1.12E-02,4.680
1.13E-02,4.680
1.14E-02,4.680
1.15E-02,4.720
1.16E-02,4.680
1.17E-02,4.720
1.18E-02,4.720
1.19E-02,4.720
1.20E-02,4.720
1.21E-02,4.680
1.22E-02,4.720
1.23E-02,4.720
1.24E-02,4.720
1.25E-02,4.680
1.26E-02,4.680
1.27E-02,4.720
1.28E-02,4.680
1.29E-02,4.680
1.30E-02,4.680
1.31E-02,4.720
1.32E-02,4.720
1.33E-02,4.680
1.34E-02,4.680
1.35E-02,4.640
1.36E-02,4.680
1.37E-02,4.720
1.38E-02,4.680
1.39E-02,4.640
1.40E-02,4.680
1.41E-02,4.640
1.42E-02,4.640
1.43E-02,4.680
1.44E-02,4.640
1.45E-02,4.640
1.46E-02,4.680
1.47E-02,4.680
1.48E-02,4.600
1.49E-02,4.640
1.50E-02,4.600
1.51E-02,4.600
1.52E-02,4.560
1.53E-02,4.640
1.54E-02,4.640
1.55E-02,4.560
1.56E-02,4.640
1.57E-02,4.640
1.58E-02,4.560
1.59E-02,4.560
1.60E-02,4.600
1.61E-02,4.600
1.62E-02,4.560
1.63E-02,4.560
1.64E-02,4.560
1.65E-02,4.520
1.66E-02,4.560
1.67E-02,4.600
1.68E-02,4.520
1.69E-02,4.520
1.70E-02,4.560
1.71E-02,4.520
1.72E-02,4.480
1.73E-02,4.520
1.74E-02,4.560
1.75E-02,4.520
1.76E-02,4.520
1.77E-02,4.480
1.78E-02,4.520
1.79E-02,4.560
1.80E-02,4.480
1.81E-02,4.480
1.82E-02,4.480
1.83E-02,4.480
1.84E-02,4.480
1.85E-02,4.480
1.86E-02,4.480
1.87E-02,4.480
1.88E-02,4.480
1.89E-02,4.480
1.90E-02,4.400
1.91E-02,4.440
1.92E-02,4.480
1.93E-02,4.440
1.94E-02,4.400
1.95E-02,4.440
1.96E-02,4.480
1.97E-02,4.360
1.98E-02,4.360
1.99E-02,4.400
2.00E-02,4.400
2.01E-02,4.400
2.02E-02,4.400
2.03E-02,4.440
2.04E-02,4.440
2.05E-02,4.440
2.06E-02,4.360
2.07E-02,4.400
2.08E-02,4.400
2.09E-02,4.400
2.10E-02,4.360
2.11E-02,4.360
2.12E-02,4.360
2.13E-02,4.360
2.14E-02,4.400
2.15E-02,4.400
2.16E-02,4.400
2.17E-02,4.400
2.18E-02,4.400
2.19E-02,4.400
2.20E-02,4.360
2.21E-02,4.360
2.22E-02,4.280
2.23E-02,4.320
2.24E-02,4.280
2.25E-02,4.320
2.26E-02,4.320
2.27E-02,4.280
