#timebase=40000000000(ps)
,#voltbase=500000(mv/100)
#size=4064
2.88E-02,2.880
2.89E-02,2.880
2.90E-02,2.840
2.91E-02,2.860
2.92E-02,2.860
2.93E-02,2.860
2.94E-02,2.860
2.95E-02,2.860
2.96E-02,2.860
2.97E-02,2.840
2.98E-02,2.860
2.99E-02,2.860
3.00E-02,2.860
3.01E-02,2.860
3.02E-02,2.840
3.03E-02,2.860
3.04E-02,2.880
3.05E-02,2.880
3.06E-02,2.860
3.07E-02,2.840
3.08E-02,2.820
3.09E-02,2.840
3.10E-02,2.820
3.11E-02,2.840
3.12E-02,2.820
3.13E-02,2.840
3.14E-02,2.860
3.15E-02,2.840
3.16E-02,2.840
3.17E-02,2.840
3.18E-02,2.860
3.19E-02,2.800
3.20E-02,2.840
3.21E-02,2.820
3.22E-02,2.820
3.23E-02,2.820
3.24E-02,2.860
3.25E-02,2.800
3.26E-02,2.820
3.27E-02,2.820
3.28E-02,2.820
3.29E-02,2.840
3.30E-02,2.820
3.31E-02,2.820
3.32E-02,2.800
3.33E-02,2.800
3.34E-02,2.780
3.35E-02,2.780
3.36E-02,2.780
3.37E-02,2.780
3.38E-02,2.780
3.39E-02,2.780
3.40E-02,2.780
3.41E-02,2.780
3.42E-02,2.760
3.43E-02,2.820
3.44E-02,2.760
3.45E-02,2.760
3.46E-02,2.780
3.47E-02,2.780
3.48E-02,2.760
3.49E-02,2.780
3.50E-02,2.780
3.51E-02,2.780
3.52E-02,2.760
3.53E-02,2.740
3.54E-02,2.740
3.55E-02,2.780
3.56E-02,2.780
3.57E-02,2.740
3.58E-02,2.780
3.59E-02,2.760
3.60E-02,2.760
3.61E-02,2.760
3.62E-02,2.760
3.63E-02,2.760
3.64E-02,2.740
3.65E-02,2.760
3.66E-02,2.760
3.67E-02,2.740
3.68E-02,2.740
3.69E-02,2.720
3.70E-02,2.740
3.71E-02,2.740
3.72E-02,2.760
3.73E-02,2.740
3.74E-02,2.740
3.75E-02,2.740
3.76E-02,2.740
3.77E-02,2.720
3.78E-02,2.740
3.79E-02,2.740
3.80E-02,2.740
3.81E-02,2.720
3.82E-02,2.720
3.83E-02,2.740
3.84E-02,2.740
3.85E-02,2.720
3.86E-02,2.720
3.87E-02,2.720
3.88E-02,2.700
3.89E-02,2.700
3.90E-02,2.700
3.91E-02,2.700
3.92E-02,2.680
3.93E-02,2.700
3.94E-02,2.700
3.95E-02,2.680
3.96E-02,2.680
3.97E-02,2.700
3.98E-02,2.720
3.99E-02,2.680
4.00E-02,2.700
4.01E-02,2.680
4.02E-02,2.700
4.03E-02,2.680
4.04E-02,2.680
4.05E-02,2.680
4.06E-02,2.680
4.07E-02,2.680
4.08E-02,2.680
4.09E-02,2.700
4.10E-02,2.700
4.11E-02,2.660
4.12E-02,2.660
4.13E-02,2.660
4.14E-02,2.700
4.15E-02,2.660
4.16E-02,2.660
4.17E-02,2.680
4.18E-02,2.660
4.19E-02,2.680
4.20E-02,2.660
4.21E-02,2.660
4.22E-02,2.640
4.23E-02,2.660
4.24E-02,2.660
4.25E-02,2.680
4.26E-02,2.620
4.27E-02,2.660
4.28E-02,2.660
4.29E-02,2.640
4.30E-02,2.680
4.31E-02,2.640
4.32E-02,2.660
4.33E-02,2.620
4.34E-02,2.600
4.35E-02,2.600
4.36E-02,2.620
4.37E-02,2.640
4.38E-02,2.620
4.39E-02,2.600
4.40E-02,2.600
4.41E-02,2.620
4.42E-02,2.620
4.43E-02,2.620
4.44E-02,2.640
4.45E-02,2.600
4.46E-02,2.580
4.47E-02,2.600
4.48E-02,2.620
4.49E-02,2.620
4.50E-02,2.620
4.51E-02,2.580
4.52E-02,2.600
4.53E-02,2.600
4.54E-02,2.600
4.55E-02,2.580
4.56E-02,2.600
4.57E-02,2.580
4.58E-02,2.580
4.59E-02,2.600
4.60E-02,2.580
4.61E-02,2.580
4.62E-02,2.580
4.63E-02,2.600
4.64E-02,2.600
4.65E-02,2.600
4.66E-02,2.600
4.67E-02,2.580
4.68E-02,2.580
4.69E-02,2.580
4.70E-02,2.580
4.71E-02,2.560
4.72E-02,2.560
4.73E-02,2.540
4.74E-02,2.580
4.75E-02,2.580
4.76E-02,2.560
4.77E-02,2.560
4.78E-02,2.580
4.79E-02,2.560
4.80E-02,2.560
4.81E-02,2.540
4.82E-02,2.540
4.83E-02,2.540
4.84E-02,2.560
4.85E-02,2.560
4.86E-02,2.560
4.87E-02,2.560
4.88E-02,2.540
4.89E-02,2.540
4.90E-02,2.540
4.91E-02,2.540
4.92E-02,2.560
4.93E-02,2.540
4.94E-02,2.540
4.95E-02,2.540
4.96E-02,2.520
4.97E-02,2.500
4.98E-02,2.500
4.99E-02,2.520
5.00E-02,2.520
5.01E-02,2.520
5.02E-02,2.520
5.03E-02,2.500
5.04E-02,2.500
5.05E-02,2.500
5.06E-02,2.520
5.07E-02,2.520
5.08E-02,2.500
5.09E-02,2.500
5.10E-02,2.500
5.11E-02,2.520
5.12E-02,2.500
5.13E-02,2.500
5.14E-02,2.500
5.15E-02,2.520
5.16E-02,2.500
5.17E-02,2.520
5.18E-02,2.500
5.19E-02,2.480
5.20E-02,2.480
5.21E-02,2.500
5.22E-02,2.500
5.23E-02,2.480
5.24E-02,2.480
5.25E-02,2.480
5.26E-02,2.480
5.27E-02,2.480
5.28E-02,2.500
5.29E-02,2.480
5.30E-02,2.480
5.31E-02,2.480
5.32E-02,2.480
5.33E-02,2.480
5.34E-02,2.460
5.35E-02,2.480
5.36E-02,2.460
5.37E-02,2.460
5.38E-02,2.460
5.39E-02,2.460
5.40E-02,2.480
5.41E-02,2.460
5.42E-02,2.480
5.43E-02,2.480
5.44E-02,2.460
5.45E-02,2.460
5.46E-02,2.480
5.47E-02,2.460
5.48E-02,2.440
5.49E-02,2.460
5.50E-02,2.460
5.51E-02,2.440
5.52E-02,2.440
5.53E-02,2.460
5.54E-02,2.460
5.55E-02,2.440
5.56E-02,2.440
5.57E-02,2.440
5.58E-02,2.460
5.59E-02,2.460
5.60E-02,2.440
5.61E-02,2.440
5.62E-02,2.440
5.63E-02,2.460
5.64E-02,2.420
5.65E-02,2.420
5.66E-02,2.420
5.67E-02,2.400
5.68E-02,2.420
5.69E-02,2.440
5.70E-02,2.420
5.71E-02,2.440
5.72E-02,2.420
5.73E-02,2.400
5.74E-02,2.420
5.75E-02,2.420
5.76E-02,2.440
5.77E-02,2.440
5.78E-02,2.380
5.79E-02,2.420
5.80E-02,2.380
5.81E-02,2.380
5.82E-02,2.440
5.83E-02,2.420
5.84E-02,2.400
5.85E-02,2.420
5.86E-02,2.400
5.87E-02,2.380
5.88E-02,2.400
5.89E-02,2.380
5.90E-02,2.400
5.91E-02,2.420
5.92E-02,2.400
5.93E-02,2.380
5.94E-02,2.400
5.95E-02,2.380
5.96E-02,2.420
5.97E-02,2.400
5.98E-02,2.380
5.99E-02,2.380
6.00E-02,2.420
6.01E-02,2.400
6.02E-02,2.360
6.03E-02,2.360
6.04E-02,2.380
6.05E-02,2.400
6.06E-02,2.400
6.07E-02,2.400
6.08E-02,2.400
6.09E-02,2.360
6.10E-02,2.380
6.11E-02,2.380
6.12E-02,2.380
6.13E-02,2.360
6.14E-02,2.380
6.15E-02,2.360
6.16E-02,2.340
6.17E-02,2.380
6.18E-02,2.340
6.19E-02,2.360
6.20E-02,2.340
6.21E-02,2.360
6.22E-02,2.340
6.23E-02,2.340
6.24E-02,2.360
6.25E-02,2.380
6.26E-02,2.360
6.27E-02,2.360
6.28E-02,2.360
6.29E-02,2.340
6.30E-02,2.340
6.31E-02,2.340
6.32E-02,2.340
6.33E-02,2.340
6.34E-02,2.360
6.35E-02,2.340
6.36E-02,2.340
6.37E-02,2.340
6.38E-02,2.360
6.39E-02,2.360
6.40E-02,2.340
6.41E-02,2.360
6.42E-02,2.360
6.43E-02,2.340
6.44E-02,2.360
6.45E-02,2.340
6.46E-02,2.340
6.47E-02,2.340
6.48E-02,2.340
6.49E-02,2.320
6.50E-02,2.340
6.51E-02,2.340
6.52E-02,2.320
6.53E-02,2.320
6.54E-02,2.320
6.55E-02,2.320
6.56E-02,2.320
6.57E-02,2.300
6.58E-02,2.320
6.59E-02,2.320
6.60E-02,2.320
6.61E-02,2.320
6.62E-02,2.320
6.63E-02,2.280
6.64E-02,2.320
6.65E-02,2.340
6.66E-02,2.300
6.67E-02,2.280
6.68E-02,2.300
6.69E-02,2.280
6.70E-02,2.300
6.71E-02,2.300
6.72E-02,2.320
6.73E-02,2.300
6.74E-02,2.300
6.75E-02,2.300
6.76E-02,2.300
6.77E-02,2.300
6.78E-02,2.300
6.79E-02,2.300
6.80E-02,2.320
6.81E-02,2.300
6.82E-02,2.280
6.83E-02,2.300
6.84E-02,2.320
6.85E-02,2.280
6.86E-02,2.280
6.87E-02,2.260
6.88E-02,2.280
6.89E-02,2.260
6.90E-02,2.280
6.91E-02,2.240
6.92E-02,2.260
6.93E-02,2.280
6.94E-02,2.280
6.95E-02,2.280
6.96E-02,2.280
6.97E-02,2.280
6.98E-02,2.260
6.99E-02,2.260
7.00E-02,2.260
7.01E-02,2.260
